hotel,hotel_id,images-src,guests,bedroom,bath,price_per_night($),price_id,location,host,Hotel_rating,Hotel_ratingid,userName,userid,RatingbyUsers,userLocation,userCity,locationid,Comments,Crime Rate
"Executive suite with jacuzzi,massage chair,parking",0,https://a0.muscache.com/im/pictures/0a92a9ca-6b91-410c-914c-e33b5dab4f47.jpg?im_w=720,4 guests ·,1 bedroom,1 bath,77,0,E-7,Hosted by Kashif Siddiq,5,0,Muhammad,0,5,"Boston, Massachusetts",Boston,0,everything was just perfect. felt right at home.,Low
"Executive suite with jacuzzi,massage chair,parking",0,https://a0.muscache.com/im/pictures/0a92a9ca-6b91-410c-914c-e33b5dab4f47.jpg?im_w=720,4 guests ·,1 bedroom,1 bath,77,0,E-7,Hosted by Kashif Siddiq,5,0,Laraib,1,5,2 years on Airbnb,nill,1,"Kashif was a great host! Responded very quickly, and was very accommodating to my needs/requests. Check-in instructions were super detailed and helpful. 
The apartment was very clean and well stocked. 
Well equipped and comfortable, spotlessly clean. Highly recommended!",Low
"Executive suite with jacuzzi,massage chair,parking",0,https://a0.muscache.com/im/pictures/0a92a9ca-6b91-410c-914c-e33b5dab4f47.jpg?im_w=720,4 guests ·,1 bedroom,1 bath,77,0,E-7,Hosted by Kashif Siddiq,5,0,Alexander Alfred,2,5,United Kingdom,United Kingdom,2,"This is be best airbnb experience I have ever had. The place was spacious, clean elegantly decorated and very comfortable. 
The host is warm and receptive, and made every effort to make my stay a comfortable one:
Do not come to Islamabad without staying here!",Low
"Executive suite with jacuzzi,massage chair,parking",0,https://a0.muscache.com/im/pictures/0a92a9ca-6b91-410c-914c-e33b5dab4f47.jpg?im_w=720,4 guests ·,1 bedroom,1 bath,77,0,E-7,Hosted by Kashif Siddiq,5,0,Haseeb,3,5,4 years on Airbnb,nill,1,Responsive owner!  Accommodating and helpful!,Low
"Executive suite with jacuzzi,massage chair,parking",0,https://a0.muscache.com/im/pictures/0a92a9ca-6b91-410c-914c-e33b5dab4f47.jpg?im_w=720,4 guests ·,1 bedroom,1 bath,77,0,E-7,Hosted by Kashif Siddiq,5,0,Haseeb,3,5,4 years on Airbnb,nill,1,Amazing stay. Unique and a clean spot to stay when visiting islamabad!,Low
"Executive suite with jacuzzi,massage chair,parking",0,https://a0.muscache.com/im/pictures/0a92a9ca-6b91-410c-914c-e33b5dab4f47.jpg?im_w=720,4 guests ·,1 bedroom,1 bath,77,0,E-7,Hosted by Kashif Siddiq,5,0,Ziyad,4,5,1 year on Airbnb,nill,1,"Upto the mark! I would've literally given 10 stars if i could
wonderful host, beautiful place! my permanent spot to stay whenever I'll be in Islamabad",Low
"Executive suite with jacuzzi,massage chair,parking",0,https://a0.muscache.com/im/pictures/0a92a9ca-6b91-410c-914c-e33b5dab4f47.jpg?im_w=720,4 guests ·,1 bedroom,1 bath,77,0,F-6,Hosted by Kashif Siddiq,5,0,Sheraz,5,5,3 years on Airbnb,nill,1,"Great clean place and good location, check in was very smooth and great service provided by kashif sir whilst checking in. Highly recommended😊",Low
"Executive suite with jacuzzi,massage chair,parking",0,https://a0.muscache.com/im/pictures/0a92a9ca-6b91-410c-914c-e33b5dab4f47.jpg?im_w=720,4 guests ·,1 bedroom,1 bath,77,0,F-6,Hosted by Kashif Siddiq,5,0,Hassan,6,5,"Houston, Texas",nill,1,"What a nice little den, felt right at home. Highly recommended! A little snacks or tea stuff would add icing on the cake.",Low
"Executive suite with jacuzzi,massage chair,parking",0,https://a0.muscache.com/im/pictures/0a92a9ca-6b91-410c-914c-e33b5dab4f47.jpg?im_w=720,4 guests ·,1 bedroom,1 bath,77,0,F-6,Hosted by Kashif Siddiq,5,0,Ziyad,4,5,1 year on Airbnb,nill,1,"Great place, elegant, beautiful and clean. Peaceful and quite area. I really had the best time staying here. And the icing on the cake is Kashif bhai. Really a great host, treated me as his brother. Definitely my permanent spot to stay whenever i visit Islamabad InshaAllah! Well worth the price.",Low
"Executive suite with jacuzzi,massage chair,parking",0,https://a0.muscache.com/im/pictures/0a92a9ca-6b91-410c-914c-e33b5dab4f47.jpg?im_w=720,4 guests ·,1 bedroom,1 bath,77,0,F-6,Hosted by Kashif Siddiq,5,0,Ossama,7,5,3 years on Airbnb,nill,1,"Great place to stay if you are Islamabad. Modern beautiful design, owner and caretaker very responsive and have all the amenities. Location wise is perfect too",Low
